location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Knoxville, TN",Chairman of the Board of Directors ,Glenn McCullough Jr,PAS,EX,III,,,TENNESSEE VALLEY AUTHORITY,BOARD OF DIRECTORS,,2004
"Knoxville, TN","Director, Board of Directors ",William Baxter,PAS,EX,IV,,,TENNESSEE VALLEY AUTHORITY,BOARD OF DIRECTORS,,2004
"Knoxville, TN","Director, Board of Directors ",Skila Harris,PAS,EX,IV,,,TENNESSEE VALLEY AUTHORITY,BOARD OF DIRECTORS,,2004
"Knoxville, TN",Inspector General ,Richard Moore,PAS,EX,IV,,,TENNESSEE VALLEY AUTHORITY,INSPECTOR GENERAL,,2004
"Washington, DC",Commissioner ,Arturo Q. Duran,PA,AD,"$145,600",,,INTERNATIONAL BOUNDARY AND WATER COMMISSION,,,2004
"Washington, DC",Secretary ,Norman Y. Mineta,PAS,EX,I,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Deputy Secretary ,Kirk K. Van Tine,PAS,EX,II,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Chief of Staff ,John A. Flaherty,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Deputy Chief of Staff ,Martin Whitmer,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",White House Liaison ,Quintin Kendall,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Assistant to the Secretary for Policy ,Christopher W. Strobel,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Assistant to the Secretary for Policy ,Denise A. Daniels,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Assistant to the Secretary for Policy ,Mark A. Busching,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Assistant to the Secretary for Policy ,Jeffrey Cavanaugh,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Counselor to the Deputy Secretary ,Susan McColley,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Special Assistant to the Secretary and Deputy Director for Scheduling and Advance ,Karla Ganswindt,SC,GS,14,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Director for Scheduling and Advance ,Suzanne Scruggs,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Scheduling/Advance Assistant ,Peter M. Cownie,SC,GS,7,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Special Assistant for Scheduling and Advance ,Landon M. Gibbs,SC,GS,7,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC","Director, Drug Enforcement and Program Compliance ",John A. Bobo Jr,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Under Secretary of Transportation for Policy ,Jeffery N. Shane,PAS,EX,II,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Counselor to the Under Secretary for Transportation Policy ,E. Michael O'Malley,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Executive Assistant ,Judy Haugh,SC,GS,12,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Special Assistant for Scheduling and Advance ,Michelle Johnson,SC,GS,13,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC",Deputy Director of Intermodalism ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC","Director, Office of Intermodal Hazardous Materials ",Vacant,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Immediate Office of the Secretary,2004
"Washington, DC","Director, Office of Civil Rights ",J. Michael Trujillo,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Civil Rights,2004
"Washington, DC","Deputy Director, Office of Civil Rights ",Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Civil Rights,2004
"Washington, DC","Director, Executive Secretariat ",Michael C. Dannenhauer,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Executive Secretariat,2004
"Washington, DC","Director, Office of Small and Disadvantaged Business Utilization ",Sean M. Moss,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Small and Disadvantaged Business Utilizati,2004
"Washington, DC",Chief Information Officer ,Daniel P. Matthews,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Chief Information Officer,2004
"Washington, DC",Deputy Chief Information Officer ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Chief Information Officer,2004
"Washington, DC",Associate Chief Information Officer for Security ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Chief Information Officer,2004
"Washington, DC",Associate Chief Information Officer for Federal Initiatives ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Chief Information Officer,2004
"Washington, DC",Assistant to the Secretary and Director of Public Affairs ,Robert R. Johnson Jr,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Deputy Director for Communications ,Brian G. Turmail,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Associate Director for Speechwriting ,Terri L. Hauser,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Speechwriter ,Peter Ramjug,SC,GS,15,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Special Assistant to the Director ,Robyn Maco Boerstling,SC,GS,13,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Special Assistant ,Sarah K. Echols,SC,GS,10,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of Public Affairs,2004
"Washington, DC",Assistant Secretary for Budget and Programs and Chief Financial Officer ,Linda Morrison Combs,PAS,EX,IV,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
"Washington, DC",Deputy Assistant Secretary for Budget and Programs ,Career Incumbent,C,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
"Washington, DC",Deputy Assistant Secretary for Management and Budget ,Joel M. Szabat,,ES,,,,DEPARTMENT OF TRANSPORTATION,OFFICE OF THE,Office of the Assistant Secretary for Budget and Pro,2004
