location,title,name,type_appoitment,pay_plan,pay_level_grade,tenure,expires,agency,big_office,little_office,year
"Washington, DC",Administrator,Jay E. Hakes,EX,PAS,IV,..........,........,Department of Energy,Immediate Office of the Administrator Energy Information Admin,,1996
"Elberton, GA",Administrator,Charles A. Borchardt,ES,CA,..........,..........,........,Department of Energy,SOUTHEASTERN POWER ADMINISTRATION,,1996
"Tulsa, OK",Administrator,Michael A. Deihl,ES,CA,..........,..........,........,Department of Energy,SOUTHWESTERN POWER ADMINISTRATION,,1996
"Lakewood, CO",Administrator,John M. Shafer,ES,CA,..........,..........,........,Department of Energy,WESTERN AREA POWER ADMINISTRATION,,1996
"Portland, OR",Administrator & Chief Executive Officer,Randall W. Hardy,ES,NA,..........,..........,........,Department of Energy,BONNEVILLE POWER ADMINISTRATION,,1996
"Albuquerque, NM","Area Manager, Amarillo Area Office",Gerald W. Johnson,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Kansas City, MO","Area Manager, Kansas City Area Office",David A. Gurule,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Albuquerque, NM","Area Manager, Kirtland Area Office",Kathleen A. Carlson,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Los Alamos, NM","Area Manager, Los Alamos Area Office",G T. Todd,ES,CA,..........,..........,........,Department of Energy,Albuquerque Operations Office,,1996
"Argonne, IL",Argonne Group Manager,Timothy S. Crawford,ES,CA,..........,..........,........,Department of Energy,Chicago Operations Office,,1996
"Washington, DC",Assistant Deputy Secretary for National Security Programs,Madelyn R. Creedon,ES,TA,..........,..........,12/01/1997,Department of Energy,Immediate Office of the Assistant Secretary for Defense Programs,,1996
"Washington, DC",Assistant Director for Energy Research (Communications & Development),Samuel Rodriquez,GS,SC,15,..........,........,Department of Energy,Immediate Office of the Director Energy Research,,1996
"Washington, DC",Assistant General Counsel for Civilian Nuclear Programs,Susan E. Klein,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Health, Safety & Environment",,1996
"Washington, DC",Assistant General Counsel for Defense Programs & National Security,Joseph S. Mahaley,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Health, Safety & Environment",,1996
"Washington, DC",Assistant General Counsel for Energy Efficiency,Lawrence R. Oliver,ES,CA,..........,..........,........,Department of Energy,Deputy General Counsel for Energy Policy,,1996
"Washington, DC",Assistant General Counsel for Environment,William J. Dennison,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Health, Safety & Environment",,1996
"Washington, DC",Assistant General Counsel for Fossil Energy,James K. White,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the General Counsel,,1996
"Washington, DC",Assistant General Counsel for General Law,Ralph D. Goldenberg,ES,CA,..........,..........,........,Department of Energy,Assistant General Counsel for General Law,,1996
"Washington, DC",Assistant General Counsel for International and Legal Policy,Craig S. Bamberger,ES,CA,..........,..........,........,Department of Energy,Deputy General Counsel for Energy Policy,,1996
"Washington, DC",Assistant General Counsel for Legislation,Robert G. Rabben,ES,CA,..........,..........,........,Department of Energy,Deputy General Counsel for Energy Policy,,1996
"Washington, DC",Assistant General Counsel for Procurement & Financial Assistance,Mary H. Egger,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Technology Transfer & Procurement",,1996
"Washington, DC",Assistant General Counsel for Regulatory Interventions,Lawrence A. Gollomp,ES,CA,..........,..........,........,Department of Energy,Immediate Office of the General Counsel,,1996
"Washington, DC",Assistant General Counsel for Technology & Intellectual Property,Paul A. Gottlieb,ES,CA,..........,..........,........,Department of Energy,"Deputy General Counsel, Technology Transfer & Procurement",,1996
"Las Vegas, NV",Assistant Manager for Business and Financial Services, Vacant,ES,..........,..........,..........,........,Department of Energy,Nevada Operations Office,,1996
"Oak Ridge, TN",Assistant Manager for Construction & Engineering,George W. Benedict,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Oak Ridge, TN",Assistant Manager for Defense Programs,Robert D. Dempsey,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Oak Ridge, TN",Assistant Manager for Energy Research & Development,Edward G. Cumesty,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Golden, CO",Assistant Manager for Engineering,David C. Lowe,ES,CA,..........,..........,........,Department of Energy,Rocky Flats Field Office,,1996
"Oak Ridge, TN","Assistant Manager for Environment, Safety & Quality",Robert W. Poe,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Oak Ridge, TN",Assistant Manager for Environmental Management,Rodney R. Nelson,ES,CA,..........,..........,........,Department of Energy,Oak Ridge Operations Office,,1996
"Aiken, SC",Assistant Manager for Environmental Quality,Thomas F. Heenan,ES,CA,..........,..........,........,Department of Energy,Savannah River Operations Office,,1996
"Richland, WA",Assistant Manager for Environmental Restoration,Linda K. McClain,ES,CA,..........,..........,........,Department of Energy,Richland Operations Office,,1996
